# bh_family_recomputed.csv  (Tasks 3 & 5, AJSR revision)
# HONEST multiple-testing family = 54 tests (18 portfolios x 3 windows).
# BH_all54          = BH over all 54 (PRIMARY, honest).
# BH_perwindow18    = BH within each window, 18 tests each (honest alternative).
# BH_smallcap9_DEPRECATED = BH over the rigged 9 small-cap tests; NOT for inference.
# source raw p-values: training_only_portfolio_results.csv (CW, one-sided).
# Integrity: family was NOT chosen to preserve significance.
split,portfolio,SMB_beta,CW_stat,CW_pvalue,BH_all54,BH_perwindow18,BH_smallcap9_DEPRECATED,sig5_raw,sig5_BH_all54
1995-01,2-Dec,1.27121659530195,0.4680602800786292,0.319870741378796,0.7088917607500465,0.6491708761226528,,False,False
1995-01,3-Dec,1.0110319048097174,-0.1692275280392952,0.567191161096855,0.7296917679579337,0.6491708761226528,,False,False
1995-01,4-Dec,0.8916153487985992,-0.139507939022492,0.5554756085722306,0.7296917679579337,0.6491708761226528,,False,False
1995-01,5-Dec,0.7239558406651522,-0.1823312312387279,0.5723386047607677,0.7296917679579337,0.6491708761226528,,False,False
1995-01,6-Dec,0.499969296683235,-0.4775265103097077,0.6835063760823812,0.7296917679579337,0.6835063760823812,,False,False
1995-01,7-Dec,0.4137288078803635,0.2241494217692175,0.4113205188371661,0.7088917607500465,0.6491708761226528,,False,False
1995-01,8-Dec,0.1885430657468498,0.0861622933959,0.4656687023540579,0.7184602836319751,0.6491708761226528,,False,False
1995-01,9-Dec,0.0424510684430032,-0.1943287921630241,0.5770407787756914,0.7296917679579337,0.6491708761226528,,False,False
1995-01,Hi 10,-0.2009538373960566,0.3926324068401351,0.3472955003318434,0.7088917607500465,0.6491708761226528,,False,False
1995-01,Hi 20,-0.1559333010180062,0.3773643605728758,0.352951424272574,0.7088917607500465,0.6491708761226528,,False,False
1995-01,Hi 30,-0.1236391222245926,0.3463329955896227,0.3645462371423604,0.7088917607500465,0.6491708761226528,,False,False
1995-01,Lo 10,1.6698505126623997,0.7093941446041853,0.239039960183771,0.7088917607500465,0.6491708761226528,0.4121707732049647,False,False
1995-01,Lo 20,1.4074040503071013,0.5609166019389393,0.2874271958770956,0.7088917607500465,0.6491708761226528,0.4121707732049647,False,False
1995-01,Lo 30,1.2045384301530773,0.2699612717141545,0.3935950242053458,0.7088917607500465,0.6491708761226528,0.442794402231014,False,False
1995-01,Med 40,0.5592583236277208,-0.1166651155404694,0.5464372823920911,0.7296917679579337,0.6491708761226528,,False,False
1995-01,Qnt 2,0.9388952479083514,-0.1510173294644222,0.5600189771287698,0.7296917679579337,0.6491708761226528,,False,False
1995-01,Qnt 3,0.5915215005004931,-0.3497430598444251,0.6367342325282113,0.7296917679579337,0.674189187382812,,False,False
1995-01,Qnt 4,0.2702774156146906,0.1349157160676876,0.4463392567685478,0.7088917607500465,0.6491708761226528,,False,False
2000-01,2-Dec,1.258751995491039,0.1904465991498141,0.4244795924810602,0.7088917607500465,0.7599996805313227,,False,False
2000-01,3-Dec,1.0132466921166954,-0.3520717287835712,0.6376077650684175,0.7296917679579337,0.7599996805313227,,False,False
2000-01,4-Dec,0.89853132469064,-0.4934518876394034,0.6891533364047151,0.7296917679579337,0.7599996805313227,,False,False
2000-01,5-Dec,0.7281735388861393,-0.7063015351909746,0.7599996805313227,0.7599996805313227,0.7599996805313227,,False,False
2000-01,6-Dec,0.509889284455354,-0.5933652955852157,0.723531645434983,0.751359785644021,0.7599996805313227,,False,False
2000-01,7-Dec,0.4159996961254634,-0.1490297704871103,0.5592349290892789,0.7296917679579337,0.7599996805313227,,False,False
2000-01,8-Dec,0.2024383725983834,-0.3262096521819173,0.6278671304483762,0.7296917679579337,0.7599996805313227,,False,False
2000-01,9-Dec,0.0389345052500977,-0.4069286280706578,0.657969795506443,0.7296917679579337,0.7599996805313227,,False,False
2000-01,Hi 10,-0.2066807956123966,0.7942430815126145,0.2135269662935415,0.7088917607500465,0.7599996805313227,,False,False
2000-01,Hi 20,-0.161399541043169,0.7450455188103388,0.2281221014302898,0.7088917607500465,0.7599996805313227,,False,False
2000-01,Hi 30,-0.1277959659897944,0.7153041595264943,0.2372105594431777,0.7088917607500465,0.7599996805313227,,False,False
2000-01,Lo 10,1.6271264939358543,0.8236767866125991,0.2050616163568481,0.7088917607500465,0.7599996805313227,0.4121707732049647,False,False
2000-01,Lo 20,1.3840592499603703,0.4660851726376928,0.3205772680483059,0.7088917607500465,0.7599996805313227,0.4121707732049647,False,False
2000-01,Lo 30,1.194633304998494,0.1400346882658824,0.4443162915675478,0.7088917607500465,0.7599996805313227,0.4443162915675478,False,False
2000-01,Med 40,0.5662534243279894,-0.4596887788854347,0.6771301875195228,0.7296917679579337,0.7599996805313227,,False,False
2000-01,Qnt 2,0.9443168623670808,-0.4250181696695426,0.6645882853010825,0.7296917679579337,0.7599996805313227,,False,False
2000-01,Qnt 3,0.5995982385702464,-0.651643219427686,0.7426843200862845,0.7566972317860257,0.7599996805313227,,False,False
2000-01,Qnt 4,0.2801076626408303,-0.2653568856148718,0.6046327268955236,0.7296917679579337,0.7599996805313227,,False,False
2010-01,2-Dec,1.2597848844667336,0.8993243080520977,0.1842399716726674,0.7088917607500465,0.40507518694671235,,False,False
2010-01,3-Dec,1.0103350176415116,0.5969007525891937,0.2752868223977892,0.7088917607500465,0.40507518694671235,,False,False
2010-01,4-Dec,0.9026939108200812,0.7079454317413033,0.2394895725258077,0.7088917607500465,0.40507518694671235,,False,False
2010-01,5-Dec,0.7164878080335186,0.4551727839357238,0.3244924693729938,0.7088917607500465,0.40507518694671235,,False,False
2010-01,6-Dec,0.4970423342143779,0.3764549783527341,0.3532893399798991,0.7088917607500465,0.40507518694671235,,False,False
2010-01,7-Dec,0.4076409710127915,0.6295077227680784,0.26450835720021,0.7088917607500465,0.40507518694671235,,False,False
2010-01,8-Dec,0.231870867507479,0.160922471867917,0.4360772314886822,0.7088917607500465,0.44299110583008,,False,False
2010-01,9-Dec,0.0620204515027604,0.1433899601751279,0.44299110583008,0.7088917607500465,0.44299110583008,,False,False
2010-01,Hi 10,-0.2159930766488065,0.6335362402929213,0.263191761352648,0.7088917607500465,0.40507518694671235,,False,False
2010-01,Hi 20,-0.1673662738370906,0.5161011761254928,0.3028918732769681,0.7088917607500465,0.40507518694671235,,False,False
2010-01,Hi 30,-0.1324721943290288,0.4631860686528042,0.3216155005821877,0.7088917607500465,0.40507518694671235,,False,False
2010-01,Lo 10,1.5859724271720212,1.3956275751450746,0.0814133370783951,0.7088917607500465,0.40507518694671235,0.4121707732049647,False,False
2010-01,Lo 20,1.3699867358865336,1.11923671385101,0.1315195832910264,0.7088917607500465,0.40507518694671235,0.4121707732049647,False,False
2010-01,Lo 30,1.1911755219414164,0.8675814162582167,0.1928117617693072,0.7088917607500465,0.40507518694671235,0.4121707732049647,False,False
2010-01,Med 40,0.5606364301566034,0.5361627661927837,0.2959230320542623,0.7088917607500465,0.40507518694671235,,False,False
2010-01,Qnt 2,0.9457796565230532,0.6735317194140209,0.250304538074777,0.7088917607500465,0.40507518694671235,,False,False
2010-01,Qnt 3,0.5889409732720714,0.4159358384685304,0.338728476951041,0.7088917607500465,0.40507518694671235,,False,False
2010-01,Qnt 4,0.2957243457533877,0.3582801577409688,0.3600668328415221,0.7088917607500465,0.40507518694671235,,False,False
